Incident-ID,Incident Date,Incident Closed Date,Severity,Status,Type,ServiceType,Product Type,Brand,Model,Serial No./CD-Key,Company,ENQ,Problem Date Start,Problem Date End,Data Center,Branch,Customer Support Contact
SR-ES-22-1379,01 Sep 2022 11:15,01 Sep 2022 22:28,Minor,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,01 Sep 2022 11:19,01 Sep 2022 13:28,SILA1,AIS,ITCO
SR-ES-22-1380,01 Sep 2022 14:48,12 Sep 2022 09:32,Minor,Closed,General Incident,Request,Storage,NetApp,FAS8020,451608000206,AIS,ENQ/65-271,01 Sep 2022 14:48,12 Sep 2022 09:32,TLS1,AIS,ITCO
SR-ES-22-1381,01 Sep 2022 16:39,02 Sep 2022 14:34,Minor,Closed,General Incident,Incident,Storage,NetApp,FAS2520,451502000178,AIS,ENQ/65-271,01 Sep 2022 16:43,02 Sep 2022 14:34,TLS1,AIS,ITCO
SR-ES-22-1386,02 Sep 2022 16:24,15 Sep 2022 12:34,Minor,Closed,General Incident,Request,Software,TrendMicro,Apex One Endpoint,ApexOne10001,AIS,ENQ/65-271,02 Sep 2022 16:32,15 Sep 2022 12:34,SILA1,AIS,Montri Lapkit
SR-ES-22-1385,02 Sep 2022 16:37,05 Sep 2022 19:07,Minor,Closed,General Incident,Request,Storage,YIP,dummy,dummy-ais,AIS,dummy-ais,02 Sep 2022 16:58,02 Sep 2022 16:58,Yit,Yit,Thaspasut Panupaponrat
SR-ES-22-1401,06 Sep 2022 16:10,06 Sep 2022 17:30,Minor,Closed,General Incident,Incident,Storage,NetApp,FAS8020,451548000237,AIS,ENQ/65-271,06 Sep 2022 16:35,06 Sep 2022 17:30,SILA1,AIS,Yuthapong Yingyongworachat
SR-ES-22-1403,07 Sep 2022 09:26,07 Sep 2022 10:17,Minor,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,07 Sep 2022 09:32,07 Sep 2022 10:17,SILA1,AIS,Jariya Moongkheemklang
SR-ES-22-1404,07 Sep 2022 13:38,07 Sep 2022 16:49,Minor,Closed,General Incident,Request,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,07 Sep 2022 14:19,07 Sep 2022 16:49,SILA1,AIS,Jariya Moongkheemklang
SR-ES-22-1434,13 Sep 2022 11:29,13 Sep 2022 13:59,Minor,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,13 Sep 2022 13:03,13 Sep 2022 13:59,SILA1,AIS,Rachot Tawronsiri
SR-ES-22-1438,14 Sep 2022 10:40,15 Sep 2022 17:03,Major,Closed,System Board Failure,Incident,Server,HPE,ProLiant DL560 Gen10,SGH035S316,AIS,ENQ/63-267,14 Sep 2022 10:40,14 Sep 2022 18:05,SILA1,AIS,Phumipat Moon-udom
