Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-01-03 04:48:17,USTBUSD,BUY,1.0018,149,149.2682,0.149,UST
2022-01-03 04:50:39,USTBUSD,BUY,1.0018,9,9.0162,0.00001287,BNB
2022-01-12 07:53:03,USTUSDT,BUY,1.0004,149,149.0596,0.00024373,BNB
2022-01-13 05:17:12,USTUSDT,BUY,1.0004,151,151.0604,0.151,UST
2022-01-17 16:23:15,USTUSDT,BUY,1.0007,179,179.1253,0.00028331,BNB
2022-01-25 11:05:00,USTUSDT,BUY,1,101,101,0.00020242,BNB
2022-01-27 10:54:32,USTUSDT,BUY,1.0002,299,299.0598,0.299,UST
2022-02-04 08:00:31,ETHUSDT,BUY,2815,0.0177,49.8255,0.00009862,BNB
2022-02-04 15:46:11,ETHUSDT,BUY,2868.38,0.0069,19.791822,0.00003896,BNB
2022-02-04 15:46:11,ETHUSDT,BUY,2868.81,0.0105,30.122505,0.00005929,BNB
2022-02-04 15:52:50,ETHUSDT,BUY,2869.01,0.0174,49.920774,0.00009834,BNB
2022-02-05 17:04:09,ATOMUSDT,BUY,30.2,2.61,78.822,0.00014409,BNB
2022-02-05 17:04:09,ATOMUSDT,BUY,30.2,0.73,22.046,0.00004029,BNB
2022-02-05 17:30:58,BNBUSDT,BUY,413.1,0.108,44.6148,0.000081,BNB
2022-02-05 17:30:58,BNBUSDT,BUY,413.1,0.088,36.3528,0.000066,BNB
2022-02-07 09:34:43,MATICUSDT,BUY,1.765,57.2,100.958,0.0572,MATIC
2022-02-08 13:53:01,MATICUSDT,BUY,1.914,78.3,149.8662,0.0783,MATIC
2022-02-08 14:29:06,BUSDDAI,BUY,1,142.6,142.6,0.1426,BUSD
2022-02-08 14:31:37,USDCBUSD,BUY,1,169.15,169.15,0,BNB
2022-02-08 19:22:10,BNBUSDT,BUY,410,0.182,74.62,0.0001365,BNB
2022-02-09 07:01:40,BNBUSDT,BUY,414.6,0.108,44.7768,0.000081,BNB
2022-02-09 13:15:25,BNBUSDT,BUY,425.5,0.188,79.994,0.000141,BNB
2022-02-11 00:23:31,MATICUSDT,BUY,1.85,54,99.9,0.00018293,BNB
2022-02-12 06:22:00,MATICUSDT,BUY,1.69,30.1,50.869,0.00009573,BNB
2022-02-12 07:21:14,USTUSDT,BUY,1,401,401,0.00075774,BNB
2022-02-14 01:31:29,AVAXUSDT,BUY,76.5,1.84,140.76,0.00026883,BNB
2022-02-16 13:49:12,ATOMUSDT,BUY,27.8,1.81,50.318,0.00008922,BNB
2022-02-17 08:35:26,ETHUSDT,BUY,3031,0.0329,99.7199,0.00017802,BNB
2022-02-17 16:31:18,USTUSDT,BUY,1.0003,650,650.195,0.00117838,BNB
2022-02-18 11:33:28,AVAXUSDT,BUY,87.39,0.45,39.3255,0.00007264,BNB
2022-02-19 12:07:58,AVAXUSDT,BUY,82.2,0.42,34.524,0.00006582,BNB
2022-02-20 06:10:28,MATICUSDT,SELL,1.549,15.3,23.6997,0.00004656,BNB
2022-02-20 06:10:28,MATICUSDT,SELL,1.549,7,10.843,0.0000213,BNB
2022-02-20 06:10:28,MATICUSDT,SELL,1.549,20.4,31.5996,0.00006208,BNB
2022-02-20 06:10:28,MATICUSDT,SELL,1.549,13,20.137,0.00003956,BNB
2022-02-20 06:10:28,MATICUSDT,SELL,1.549,28.4,43.9916,0.00008643,BNB
2022-02-21 21:54:08,AVAXUSDT,BUY,72.2,0.48,34.656,0.00007128,BNB
2022-02-22 06:40:38,ATOMUSDT,SELL,23.68,1.81,42.8608,0.00008988,BNB
2022-02-22 06:42:32,AVAXUSDT,BUY,69.66,0.61,42.4926,0.00008923,BNB
2022-02-24 04:10:44,USTUSDT,BUY,1.0031,301,301.9331,0,BNB
2022-02-26 16:27:07,BNBUSDT,BUY,374.4,0.133,49.7952,0.00009975,BNB
2022-02-27 00:30:06,ETHUSDT,BUY,2755,0.0366,100.833,0.00020439,BNB
2022-02-27 01:59:56,AVAXUSDT,BUY,78,1.29,100.62,0.00020745,BNB
2022-02-27 19:34:46,ETHUSDT,BUY,2655,0.0229,60.7995,0.00012554,BNB
2022-03-01 13:53:37,AVAXUSDT,BUY,90.1,0.67,60.367,0.00010959,BNB
2022-03-02 13:38:24,ATOMUSDT,BUY,30,1.59,47.7,0.00008859,BNB
2022-03-02 14:43:34,AVAXUSDT,SELL,85.5,0.67,57.285,0.0001047,BNB
2022-03-03 01:10:49,SOLUSDT,BUY,99,1.01,99.99,0.00018399,BNB
2022-03-03 07:22:25,USTUSDT,BUY,1.0036,366,367.3176,0,BNB
2022-03-03 07:32:35,USTUSDT,BUY,1.0032,30,30.096,0,BNB
2022-03-03 17:29:20,AVAXUSDT,BUY,77.2,0.66,50.952,0.00009639,BNB
2022-03-04 01:09:35,ETHUSDT,BUY,2692,0.0118,31.7656,0.00006132,BNB
2022-03-04 01:11:00,SOLUSDT,BUY,91.5,0.55,50.325,0.00009681,BNB
2022-03-04 15:06:38,ETHUSDT,SELL,2690,0.04,107.6,0.00020724,BNB
2022-03-04 16:33:18,SOLUSDT,SELL,90.82,0.3,27.246,0.00005295,BNB
2022-03-05 00:30:42,ATOMUSDT,BUY,30,1.03,30.9,0.00006281,BNB
2022-03-07 14:20:55,ATOMUSDT,SELL,29,1.03,29.87,0.00005842,BNB
2022-03-09 08:28:25,SOLUSDT,BUY,88.43,0.33,29.1819,0.00005578,BNB
2022-03-09 10:22:17,SOLUSDT,BUY,88.33,0.16,14.1328,0.00002688,BNB
2022-03-09 12:28:15,SOLUSDC,BUY,88.63,0.17,15.0671,0.00002847,BNB
2022-03-09 19:17:19,AVAXUSDT,BUY,76.6,0.4,30.64,0.00005847,BNB
2022-03-10 01:47:30,ATOMUSDT,BUY,29.6,1.01,29.896,0.0000578,BNB
2022-03-10 01:47:39,ETHUSDT,BUY,2675,0.0114,30.495,0.00005916,BNB
2022-03-13 20:20:38,AVAXUSDT,SELL,69.43,0.4,27.772,0.00005638,BNB
2022-03-13 22:16:03,ATOMUSDT,SELL,26.6,1.01,26.866,0.00005442,BNB
2022-03-18 00:58:15,ATOMUSDT,BUY,27.6,0.9,24.84,0.00004828,BNB
2022-03-21 10:50:56,AVAXUSDT,BUY,92.41,0.28,25.8748,0.00004906,BNB
2022-03-21 11:02:24,ETHUSDT,BUY,2912.67,0.0041,11.941947,0.00002268,BNB
2022-03-21 11:04:46,BNBUSDT,BUY,395,0.027,10.665,0.00002025,BNB
2022-03-21 11:37:45,MATICUSDT,BUY,1.487,6.7,9.9629,0.00001891,BNB
2022-03-21 14:10:25,AVAXUSDT,SELL,89.4,0.12,10.728,0.0000204,BNB
2022-03-22 03:18:44,ETHUSDT,BUY,2988.28,0.004,11.95312,0.00002215,BNB
2022-03-22 04:27:43,ATOMUSDT,BUY,28.68,0.38,10.8984,0.00001987,BNB
2022-03-24 15:00:02,BTCUSDT,BUY,43635,0.00229,99.92415,0.00018251,BNB
2022-03-24 15:28:00,AVAXUSDT,BUY,87.32,0.13,11.3516,0.00002055,BNB
2022-03-24 15:40:33,SOLUSDT,BUY,102.11,0.14,14.2954,0.00002574,BNB
